ID,INDIVIDUAL_ID,DATE,REGION,REEF,ZONING,SPECIES,LIFE_STAGE,FL,TL,Period
Plec03_F04,T26296,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,275,290,C
Plec05_F02,T19732,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,290,310,C
Plec05_F11,T01531,25/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,290,305,C
Plec06_H09,T16020,28/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,290,310,C
Plec03_E07,T16032,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,295,310,C
Plec03_E02,T19282,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,300,320,C
Plec03_A03,T25960,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,305,324,C
Plec05_H09,T26770,29/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,305,321,C
Plec04_A08,BP_008,28/02/2009,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,310,329,C
Plec04_A07,BP_007,28/02/2009,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,311,330,C
Plec05_E09,T33335,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,311,329,C
Plec04_A06,BP_006,28/02/2009,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,312,330,C
Plec05_C10,T26691,31/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,313,325,C
Plec05_F05,T26313,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,313,330,C
Plec04_A03,BP_003,28/02/2009,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,315,330,C
Plec04_A05,BP_005,28/02/2009,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,318,333,C
Plec04_A04,BP_004,28/02/2009,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,319,336,C
Plec05_B11,T26617,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,319,340,C
Plec03_D01,T19289,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,320,338,C
Plec06_F11,T01321,23/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,320,335,C
Plec03_G10,T25281,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,322,342,C
Plec03_D06,T26423,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,325,350,C
Plec05_G07,T01023,22/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,325,345,C
Plec04_A01,BP_001,25/02/2009,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,326,345.125,C
Plec01_G10,T00802,20/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,327,345,C
Plec05_G01,T01022,22/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,327,347,C
Plec01_H06,T32143,31/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,328,350,C
Plec03_E01,T16445,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,332,350,C
Plec05_A11,T26990,02/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,333,355,C
Plec01_H02,T26105,25/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,334,350,C
Plec03_F12,T25996,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,335,349,C
Plec05_A09,T33338,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,335,354,C
Plec05_F03,T26684,31/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,335,360,C
Plec01_C08,T33220,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,337,359,C
Plec05_D01,T01054,22/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,340,355,C
Plec01_E03,T26244,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,344,366,C
Plec05_G04,T16586,30/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,346,366,C
Plec05_A02,T26200,28/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,348,361,C
Plec03_G07,T25219,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,350,372,C
Plec05_C05,T25307,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,350,365,C
Plec05_D05,T15858,26/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,350,375,C
Plec03_C01,T26519,26/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,353,370,C
Plec03_D11,T25328,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,355,375,C
Plec05_B04,T26905,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,356,374,C
Plec05_H10,T32146,31/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,356,375,C
Plec01_B03,T33590,03/02/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,359,378,C
Plec05_G05,T01859,28/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,359,381,C
Plec01_B06,T33157,31/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,360,372,C
Plec01_C05,T25622,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,360,382,C
Plec01_C10,T33241,01/02/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,360,378,C
Plec01_F11,T01647,27/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,360,380,C
Plec03_E03,T19285,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,360,380,C
Plec03_E04,T16564,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,360,380,C
Plec03_G03,T26782,30/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,360,379,C
Plec02_G07,T25969,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,364,385,C
