country,year,unemp,enp,lerps,thresh
"aust",1970,1.1,2.25,1.8718,8.5
"aust",1971,1,2.42,1.8718,2.6
"aust",1975,1.5,2.42,1.8563,2.6
"aust",1979,1.7,2.42,1.96009,2.6
"aust",1983,3.7,2.42,1.79176,2.6
"aust",1986,3.1,2.42,2.37024,2.6
"aust",1990,3.6,2.42,2.8679,2.6
"belg",1971,2.1,4.63,0,4.8
"belg",1974,3,4.63,0,4.8
"belg",1977,7.4,4.63,0,4.8
"belg",1978,7.9,4.63,.875469,4.8
"belg",1981,10.8,4.63,.741937,4.8
"belg",1985,11.3,4.63,.875469,4.8
"belg",1987,11,4.63,1.06471,4.8
"denm",1971,.9,4.92,0,2
"denm",1971,.9,4.92,0,2
"denm",1973,1,4.92,2.82731,2
"denm",1975,5.3,4.92,2.68102,2
"denm",1977,6.4,4.92,2.74727,2
"denm",1979,6.2,4.92,2.48491,2
"denm",1981,9.2,4.92,2.29253,2
"denm",1984,10.1,4.92,1.52606,2
"denm",1987,7.8,4.92,1.75786,2
"denm",1988,8.6,4.92,2.30259,2
"denm",1990,9.6,4.92,2.00148,2
"finl",1970,1.9,5.03,0,5.4
"finl",1972,2.5,5.03,0,5.4
"finl",1975,2.2,5.03,0,5.4
"finl",1979,5.9,5.03,0,5.4
"finl",1983,5.4,5.03,0,5.4
"finl",1987,5,5.03,0,5.4
"fran",1973,2.7,3.5,0,35
"fran",1978,5.2,3.5,.262364,35
"fran",1981,7.4,3.5,.182322,35
"fran",1986,10.4,3.9,2.37955,11.7
"fran",1988,10,3.07,2.37955,35
"germ",1972,.8,2.95,.470004,5
"germ",1976,3.7,2.95,.262364,5
"germ",1980,2.9,2.95,.182322,5
"germ",1983,7.7,2.95,.182322,5
"germ",1987,6.2,3.47,.470004,5
"germ",1990,5.1,3.47,1.28093,5
"gree",1974,2.1,1.72,0,18.8
"gree",1977,1.7,2.22,0,16.1
"gree",1981,4,2.22,.993252,16.1
"gree",1985,7.8,2.15,.470004,14.7
"gree",1989,7.9,2.37,.262364,3.3
"gree",1989,7.9,2.37,0,3.3
"gree",1990,8.3,2.37,.0953102,3.3
"irel",1973,5.7,2.79,0,17.2
"irel",1977,9,2.79,0,17.2
"irel",1981,10,2.79,0,17.2
"irel",1982,12.1,2.79,0,17.2
"irel",1982,12.1,2.79,0,17.2
"irel",1987,16.9,2.79,0,17.2
"ital",1972,6.3,3.62,2.27213,2
"ital",1976,6.6,3.62,1.96009,2
"ital",1979,7.6,3.62,1.84055,2
"ital",1983,8.8,3.62,2.05412,2
"ital",1987,10.9,3.62,1.93152,2
"neth",1971,1.3,4.59,0,.67
"neth",1972,2.2,4.59,0,.67
"neth",1977,5.3,4.59,0,.67
"neth",1981,8.5,4.59,.0953102,.67
"neth",1982,11.4,4.59,.587787,.67
"neth",1986,9.9,4.59,.405465,.67
"neth",1989,8.3,4.59,.641854,.67
"norw",1973,1.5,3.26,1.79176,8.9
"norw",1977,1.4,3.26,1.06471,8.9
"norw",1981,2,3.26,1.70475,8.9
"norw",1985,2.6,3.26,1.54756,8.9
"norw",1989,4.9,4.23,2.63906,4
"port",1975,3.5,3.05,0,5.7
"port",1976,5.8,3.05,.405465,5.7
"port",1979,8.2,3.05,.741937,5.7
"port",1980,8,3.05,.336472,5.7
"port",1983,7.9,3.05,.530628,5.7
"port",1985,8.5,3.05,.530628,5.7
"port",1987,7,3.05,.470004,5.7
"spai",1977,5.1,2.72,2.24071,10.2
"spai",1979,8.4,2.72,2.0149,10.2
"spai",1982,15.6,2.72,3.31419,10.2
"spai",1986,20.8,2.72,3.29953,10.2
"spai",1989,16.9,2.72,3.29584,10.2
"swed",1970,1.2,3.4,0,4
"swed",1973,2,3.4,0,4
"swed",1976,1.3,3.4,0,4
"swed",1979,1.7,3.4,0,4
"swed",1982,2.6,3.4,0,4
"swed",1985,2.4,3.4,0,4
"swed",1988,1.6,3.4,0,4
"swit",1971,.3,5.1,1.30833,8.5
"swit",1975,.3,5.1,1.335,8.5
"swit",1979,.3,5.1,.916291,8.5
"swit",1983,.8,5.1,1.4816,8.5
"swit",1987,.8,5.1,1.43508,8.5
"uk",1970,3,2.1,0,35
"uk",1974,2.9,2.1,.336472,35
"uk",1974,2.9,2.1,.182322,35
"uk",1979,5,2.1,.470004,35
"uk",1983,12.4,2.1,.0953102,35
"uk",1987,10.3,2.1,0,35
